n,a_n,b_n,ratio_n2,ratio_n2logn,ratio_n2p5
1,2,1,2.00000000,2.88539008,2.00000000
2,4,2,1.00000000,1.44269504,0.70710678
3,4,1,0.44444444,0.40455077,0.25660012
4,8,4,0.50000000,0.36067376,0.25000000
5,13,8,0.52000000,0.32309417,0.23255107
6,8,2,0.22222222,0.12402458,0.09072184
7,8,1,0.16326531,0.08390177,0.06170849
8,21,13,0.32812500,0.15779477,0.11600971
9,13,4,0.16049383,0.07304389,0.05349794
10,31,21,0.31000000,0.13463129,0.09803061
11,13,2,0.10743802,0.04480513,0.03239378
12,13,1,0.09027778,0.03633045,0.02606095
13,21,8,0.12426036,0.04844554,0.03446362
14,45,31,0.22959184,0.08699767,0.06136100
15,81,66,0.36000000,0.13293697,0.09295160
16,97,81,0.37890625,0.13666154,0.09472656
17,21,4,0.07266436,0.02564733,0.01762370
18,31,13,0.09567901,0.03310267,0.02255176
19,21,2,0.05817175,0.01975648,0.01334551
20,21,1,0.05250000,0.01752493,0.01173936
21,66,45,0.14965986,0.04915709,0.03265846
22,166,144,0.34297521,0.11095778,0.07312256
23,31,8,0.05860113,0.01868960,0.01221918
24,45,21,0.07812500,0.02458265,0.01594720
25,225,200,0.36000000,0.11184029,0.07200000
26,333,307,0.49260355,0.15119366,0.09660750
27,31,4,0.04252401,0.01290234,0.00818375
28,444,416,0.56632653,0.16995551,0.10702565
29,31,2,0.03686088,0.01094673,0.00684489
30,31,1,0.03444444,0.01012715,0.00628867
31,97,66,0.10093652,0.02939339,0.01812873
32,45,13,0.04394531,0.01267994,0.00776851
33,625,592,0.57392103,0.16414122,0.09990683
34,200,166,0.17301038,0.04906202,0.02967104
35,66,31,0.05387755,0.01515395,0.00910697
36,81,45,0.06250000,0.01744096,0.01041667
37,45,8,0.03287071,0.00910314,0.00540391
38,717,679,0.49653740,0.13650189,0.08054900
39,974,935,0.64036818,0.17479389,0.10254097
40,1175,1135,0.73437500,0.19907807,0.11611488
41,45,4,0.02676978,0.00720863,0.00418074
42,1492,1450,0.84580499,0.22629207,0.13051054
43,45,2,0.02433748,0.00647067,0.00371143
44,45,1,0.02324380,0.00614235,0.00350413
45,66,21,0.03259259,0.00856199,0.00485862
46,1721,1675,0.81332703,0.21243228,0.11991853
47,144,97,0.06518787,0.01693126,0.00950863
48,2162,2114,0.93836806,0.24239714,0.13544176
49,2518,2469,1.04872970,0.26947023,0.14981853
50,81,31,0.03240000,0.00828216,0.00458205
51,1772,1721,0.68127643,0.17327229,0.09539778
52,97,45,0.03587278,0.00907886,0.00497466
53,66,13,0.02349591,0.00591793,0.00322741
54,679,625,0.23285322,0.05837407,0.03168731
55,2962,2907,0.97917355,0.24434543,0.13203174
56,200,144,0.06377551,0.01584346,0.00852236
57,3358,3301,1.03354878,0.25563583,0.13689688
58,66,8,0.01961950,0.00483186,0.00257617
59,225,166,0.06463660,0.01585187,0.00841497
60,81,21,0.02250000,0.00549539,0.00290474
61,3779,3718,1.01558721,0.24704898,0.13003262
62,66,4,0.01716961,0.00416018,0.00218054
63,144,81,0.03628118,0.00875694,0.00457100
64,66,2,0.01611328,0.00387443,0.00201416
65,66,1,0.01562130,0.00374218,0.00193758
