n,a_n,b_n
1,1090,1089
2,1543,1541
3,1564,1561
4,1568,1564
5,1916,1911
6,2314,2308
7,1568,1561
8,2524,2516
9,2533,2524
10,211,201
11,3115,3104
12,3234,3222
13,3769,3756
14,4103,4089
15,4302,4287
16,4546,4530
17,2533,2516
18,4923,4905
19,4997,4978
20,5572,5552
21,5838,5817
22,233,211
23,6125,6102
24,6477,6453
25,1568,1543
26,6644,6618
27,1568,1541
28,7005,6977
29,7262,7233
30,7557,7527
31,740,709
32,233,201
33,7960,7927
34,8303,8269
35,831,796
36,326,290
37,8639,8602
38,8975,8937
39,930,891
40,427,387
41,971,930
42,469,427
43,1014,971
44,513,469
45,9270,9225
46,559,513
47,48,1
48,607,559
49,97,48
50,657,607
51,148,97
52,709,657
53,201,148
54,9612,9558
55,9919,9864
56,796,740
57,290,233
58,10183,10125
59,10444,10385
60,891,831
61,387,326
62,10874,10812
63,211,148
64,11140,11076
65,11456,11391
66,11974,11908
67,11207,11140
68,12171,12103
69,12808,12739
70,13169,13099
71,13717,13646
72,14117,14045
73,14437,14364
74,14835,14761
75,14910,14835
76,15425,15349
77,16085,16008
78,16378,16300
79,290,211
80,971,891
81,16972,16891
82,469,387
83,740,657
84,1014,930
85,233,148
86,513,427
87,796,709
88,13257,13169
89,290,201
90,559,469
91,831,740
92,17319,17227
93,326,233
94,607,513
95,891,796
96,97,1
97,387,290
98,657,559
99,930,831
100,148,48
101,427,326
102,709,607
103,17855,17752
104,201,97
105,18151,18046
106,18542,18436
107,18985,18878
108,19762,19654
109,20048,19939
110,20576,20466
111,21318,21207
112,21918,21806
113,22605,22492
114,211,97
115,326,211
116,22964,22848
117,23564,23447
118,24102,23984
119,24639,24520
120,24900,24780
121,25536,25415
122,831,709
123,1014,891
124,25882,25758
125,326,201
126,513,387
127,26795,26668
128,27224,27096
129,27738,27609
130,28038,27908
131,11207,11076
132,559,427
133,740,607
134,930,796
135,28523,28388
136,233,97
137,427,290
138,607,469
139,796,657
140,971,831
141,28870,28729
142,290,148
143,469,326
144,657,513
145,29312,29167
146,29863,29717
147,148,1
148,30265,30117
149,14910,14761
150,709,559
151,891,740
152,29464,29312
153,201,48
154,387,233
155,30886,30731
156,31758,31602
157,32575,32418
158,13257,13099
159,33070,32911
160,33399,33239
161,34084,33923
162,35100,34938
163,211,48
164,35540,35376
165,36089,35924
166,36774,36608
167,37612,37445
168,38264,38096
169,38433,38264
170,41251,41081
171,41636,41465
172,559,387
173,42842,42669
174,831,657
175,971,796
176,387,211
177,43681,43504
178,326,148
179,469,290
180,607,427
181,740,559
182,891,709
183,1014,831
184,11391,11207
185,233,48
186,387,201
187,513,326
