n,a_n,b_n
1,2,1
2,4,2
3,4,1
4,8,4
5,13,8
6,8,2
7,8,1
8,21,13
9,13,4
10,31,21
11,13,2
12,13,1
13,21,8
14,45,31
15,81,66
16,97,81
17,21,4
18,31,13
19,21,2
20,21,1
21,66,45
22,204,182
23,31,8
24,45,21
25,148,123
26,123,97
27,31,4
28,593,565
29,31,2
30,31,1
31,97,66
32,45,13
33,5888,5855
34,182,148
35,66,31
36,81,45
37,45,8
38,290,252
39,6880,6841
40,401,361
41,45,4
42,123,81
43,45,2
44,45,1
45,66,21
46,1016,970
47,822,775
48,252,204
49,1572,1523
50,81,31
51,148,97
52,97,45
53,66,13
54,970,916
55,7539,7484
56,204,148
57,123,66
58,66,8
59,182,123
60,81,21
61,8177,8116
62,66,4
63,9265,9202
64,66,2
65,66,1
66,97,31
67,148,81
68,81,13
69,662,593
70,252,182
71,361,290
72,4851,4779
73,81,8
74,475,401
75,1896,1821
76,97,21
77,81,4
78,123,45
79,81,2
80,81,1
81,204,123
82,148,66
83,1395,1312
84,97,13
85,182,97
86,290,204
87,9800,9713
88,10987,10899
89,97,8
90,565,475
91,11509,11418
92,123,31
93,97,4
94,916,822
95,97,2
96,97,1
97,662,565
98,12315,12217
99,12641,12542
100,1016,916
101,182,81
102,123,21
103,148,45
104,252,148
105,14183,14078
106,14623,14517
107,204,97
108,290,182
109,361,252
110,123,13
111,401,290
112,15664,15552
113,775,662
114,475,361
115,123,8
116,182,66
117,148,31
118,593,475
119,123,4
120,16239,16119
121,123,2
122,123,1
123,204,81
124,17341,17217
125,2379,2254
126,18207,18081
127,148,21
128,1523,1395
129,252,123
130,18663,18533
131,2510,2379
132,18795,18663
133,2029,1896
134,20181,20047
135,148,13
136,4433,4297
137,182,45
138,204,66
139,17480,17341
140,148,8
141,916,775
142,290,148
143,1159,1016
144,148,4
145,2925,2780
146,148,2
147,148,1
148,970,822
149,401,252
150,21244,21094
151,182,31
152,21710,21558
153,1312,1159
154,22467,22313
155,252,97
156,23693,23537
157,361,204
158,23851,23693
159,204,45
160,822,662
161,182,21
162,24895,24733
163,26545,26382
164,565,401
165,27142,26977
166,28329,28163
167,290,123
168,29001,28833
169,182,13
170,29966,29796
171,252,81
172,30996,30824
173,204,31
174,182,8
175,31699,31524
176,32193,32017
177,1572,1395
178,182,4
179,361,182
180,182,2
181,182,1
182,775,593
183,204,21
184,33725,33541
185,475,290
186,252,66
187,662,475
188,34561,34373
189,1159,970
190,35887,35697
191,204,13
192,593,401
193,290,97
194,1016,822
195,970,775
196,204,8
197,401,204
198,36785,36587
199,3354,3155
200,204,4
201,3998,3797
202,204,2
203,204,1
204,565,361
205,26750,26545
206,3797,3591
207,252,45
208,2029,1821
209,290,81
210,775,565
211,1523,1312
212,37822,37610
213,361,148
214,38346,38132
215,39385,39170
216,41177,40961
217,41681,41464
218,43337,43119
219,401,182
220,44466,44246
221,252,31
222,45125,44903
223,475,252
224,290,66
225,2254,2029
226,45928,45702
227,26977,26750
228,47046,46818
229,822,593
230,3155,2925
231,252,21
232,593,361
233,48869,48636
234,49897,49663
235,50936,50701
236,1395,1159
237,3591,3354
238,361,123
239,252,13
240,51176,50936
241,1016,775
242,52559,52317
243,1159,916
244,252,8
245,290,45
246,53821,53575
247,54068,53821
248,252,4
249,1821,1572
250,252,2
251,252,1
252,55274,55022
253,401,148
254,916,662
255,56778,56523
256,2510,2254
257,822,565
258,57036,56778
259,290,31
260,1572,1312
261,662,401
262,18795,18533
263,17480,17217
264,361,97
265,59022,58757
266,60047,59781
267,61719,61452
268,62963,62695
269,290,21
270,2780,2510
271,475,204
272,64396,64124
273,66067,65794
274,67360,67086
275,565,290
276,68770,68494
277,290,13
278,401,123
279,70326,70047
280,361,81
281,71420,71139
282,290,8
283,72621,72338
284,74350,74066
285,75766,75481
286,290,4
287,76700,76413
288,290,2
289,290,1
290,78000,77710
291,74641,74350
292,80063,79771
293,475,182
294,80357,80063
295,361,66
296,1312,1016
297,81864,81567
298,1821,1523
299,4297,3998
300,775,475
