n,a_n,b_n
1,2,1
2,56,54
3,27,24
4,11,7
5,7,2
6,7,1
7,42,35
8,35,27
9,11,2
10,11,1
11,35,24
12,54,42
13,24,11
14,56,42
15,42,27
16,27,11
17,24,7
18,42,24
19,54,35
20,27,7
21,56,35
22,24,2
23,24,1
24,35,11
25,27,2
26,27,1
27,54,27
28,35,7
29,56,27
30,54,24
31,42,11
32,56,24
33,35,2
34,35,1
35,42,7
36,92,56
37,129,92
38,92,54
39,168,129
40,42,2
41,42,1
42,254,212
43,54,11
44,298,254
45,56,11
46,404,358
47,54,7
48,514,466
49,56,7
50,92,42
51,625,574
52,54,2
53,54,1
54,56,2
55,56,1
56,745,689
57,92,35
58,862,804
59,982,923
60,1103,1043
61,1164,1103
62,1296,1234
63,1436,1373
64,1571,1507
65,92,27
66,1716,1650
67,1872,1805
68,92,24
69,2020,1951
70,2173,2103
71,2323,2252
72,2473,2401
73,129,56
74,2547,2473
75,129,54
76,168,92
77,2731,2654
78,2809,2731
79,2985,2906
80,3451,3371
81,92,11
82,3672,3590
83,3865,3782
84,4088,4004
85,92,7
86,298,212
87,129,42
88,4176,4088
89,4460,4371
90,92,2
91,92,1
92,4647,4555
93,4925,4832
94,129,35
95,5215,5120
96,4272,4176
97,5670,5573
98,5878,5780
99,4371,4272
100,6264,6164
101,6574,6473
102,129,27
103,6367,6264
104,7290,7186
105,129,24
106,6473,6367
107,7397,7290
108,8511,8403
109,8846,8737
110,9326,9216
111,9656,9545
112,168,56
113,9973,9860
114,168,54
115,10226,10111
116,10493,10377
117,11073,10956
118,129,11
119,11312,11193
120,11696,11576
121,1164,1043
122,129,7
123,12279,12156
124,12403,12279
125,12951,12826
126,168,42
127,129,2
128,129,1
129,13527,13398
130,298,168
131,13794,13663
132,14306,14174
133,168,35
134,14817,14683
135,14952,14817
136,15558,15422
137,17079,16942
138,17771,17633
139,18327,18188
140,18684,18544
141,168,27
142,19163,19021
143,19646,19503
144,168,24
145,20130,19985
146,2547,2401
147,20277,20130
148,20590,20442
149,21268,21119
150,21763,21613
151,22283,22132
152,23581,23429
153,24419,24266
154,25131,24977
155,2809,2654
156,25447,25291
157,168,11
158,26460,26302
159,26995,26836
160,24579,24419
161,168,7
162,28336,28174
163,29620,29457
164,30623,30459
165,30788,30623
166,168,2
167,168,1
168,33654,33486
169,298,129
170,34085,33915
171,34942,34771
172,4176,4004
173,35553,35380
174,36299,36125
175,36876,36701
176,36475,36299
177,38684,38507
178,40435,40257
179,41614,41435
180,42106,41926
181,43150,42969
182,1164,982
183,43657,43474
184,4272,4088
185,44678,44493
186,44864,44678
187,47689,47502
188,4460,4272
189,48473,48284
190,49336,49146
191,50411,50220
192,52289,52097
193,53838,53645
194,55659,55465
195,56155,55960
196,56926,56730
197,57866,57669
198,58682,58484
199,48672,48473
200,59340,59140
201,60752,60551
202,62249,62047
203,6367,6164
204,62917,62713
205,63644,63439
206,298,92
207,6574,6367
208,65407,65199
209,66363,66154
210,66798,66588
211,7397,7186
212,67836,67624
213,68580,68367
214,70292,70078
215,71477,71262
216,72042,71826
217,73022,72805
218,74239,74021
219,75091,74872
220,75887,75667
221,76348,76127
222,63139,62917
223,78720,78497
224,2547,2323
225,83565,83340
226,36701,36475
227,84329,84102
228,84807,84579
229,85370,85141
230,86921,86691
231,88892,88661
232,90245,90013
233,91205,90972
234,92442,92208
235,92923,92688
236,93411,93175
237,93896,93659
238,95553,95315
239,97155,96916
240,98913,98673
241,1164,923
242,298,56
243,100356,100113
244,298,54
245,100917,100672
246,90491,90245
247,12403,12156
248,102319,102071
249,104432,104183
250,107479,107229
251,109326,109075
252,107731,107479
253,111325,111072
254,113512,113258
255,116237,115982
256,298,42
257,118576,118319
258,122463,122205
259,124735,124476
260,126313,126053
261,127269,127008
262,2809,2547
263,298,35
264,127899,127635
265,129112,128847
266,131261,130995
267,125002,124735
268,4272,4004
269,14952,14683
270,135588,135318
271,298,27
272,135860,135588
273,140746,140473
274,298,24
275,145302,145027
276,149961,149685
277,153139,152862
278,155513,155235
279,157151,156872
280,160968,160688
281,162172,161891
282,163979,163697
283,4555,4272
284,161252,160968
285,168783,168498
286,172355,172069
287,298,11
288,174037,173749
289,175756,175467
290,178190,177900
291,298,7
292,20277,19985
293,181577,181284
294,184017,183723
295,2547,2252
296,298,2
297,298,1
298,185145,184847
299,185444,185145
300,63439,63139
301,195243,194942
302,1164,862
303,197777,197474
304,201706,201402
305,205051,204746
306,207986,207680
307,210237,209930
308,211373,211065
309,213054,212745
310,215101,214791
311,4176,3865
312,219106,218794
313,24579,24266
314,220328,220014
315,198092,197777
316,222194,221878
317,223715,223398
318,225044,224726
319,228632,228313
320,230312,229992
321,234654,234333
322,235715,235393
323,237681,237358
324,238590,238266
325,239427,239102
326,243502,243176
327,245091,244764
328,248151,247823
329,30788,30459
330,251677,251347
331,245422,245091
332,257258,256926
333,266064,265731
334,267625,267291
335,271247,270912
336,2809,2473
337,252014,251677
338,272799,272461
339,282739,282400
340,286413,286073
341,288220,287879
342,292540,292198
343,293600,293257
344,294859,294515
345,300492,300147
346,302104,301758
347,304196,303849
348,308583,308235
349,312891,312542
350,36475,36125
351,313619,313268
352,316939,316587
353,320704,320351
354,325927,325573
355,327408,327053
356,333331,332975
357,334726,334369
358,327766,327408
359,344072,343713
360,1164,804
361,348113,347752
362,350191,349829
363,350945,350582
364,351757,351393
365,362012,361647
366,363435,363069
367,364502,364135
368,344440,344072
369,365992,365623
370,376615,376245
371,44864,44493
372,382072,381700
373,386429,386056
374,2547,2173
375,4647,4272
376,389592,389216
377,391200,390823
